elapsed_s,events_processed,throughput_eps,minutes_processed,backlog_total,latency_ms_p50,latency_ms_p95,backlog_window,backlog_merge,backlog_anomaly,backlog_ml,backlog_sink
1.02,0,0.0,0,0,0.0,0.0,0,0,0,0,0
2.03,0,0.0,0,0,0.0,0.0,0,0,0,0,0
3.05,0,0.0,0,0,0.0,0.0,0,0,0,0,0
4.07,0,0.0,0,0,0.0,0.0,0,0,0,0,0
5.09,0,0.0,0,0,0.0,0.0,0,0,0,0,0
6.11,0,0.0,0,0,0.0,0.0,0,0,0,0,0
7.14,0,0.0,0,0,0.0,0.0,0,0,0,0,0
8.16,0,0.0,0,0,0.0,0.0,0,0,0,0,0
9.2,0,0.0,0,0,0.0,0.0,0,0,0,0,0
10.21,0,0.0,0,0,0.0,0.0,0,0,0,0,0
11.24,0,0.0,0,0,0.0,0.0,0,0,0,0,0
12.25,0,0.0,0,0,0.0,0.0,0,0,0,0,0
13.26,0,0.0,0,0,0.0,0.0,0,0,0,0,0
14.26,0,0.0,0,0,0.0,0.0,0,0,0,0,0
15.28,0,0.0,0,0,0.0,0.0,0,0,0,0,0
16.28,821,820.8,18,0,714.34,747.53,0,0,0,0,0
17.31,1247,415.4,37,11,739.83,1079.87,0,0,11,0,0
18.33,1883,621.2,64,12,1068.86,1111.85,0,0,12,0,0
19.34,2222,335.9,78,31,1090.86,1620.49,0,0,31,0,0
20.69,3169,704.8,118,36,1110.59,2082.79,0,0,36,0,0
21.69,3558,386.1,143,45,1443.01,2040.71,0,2,41,2,0
22.73,3601,41.6,152,55,1676.47,2136.15,0,0,55,0,0
23.73,4261,657.4,173,71,1735.6,2942.2,0,0,71,0,0
24.74,4543,278.8,181,93,1748.15,2986.05,0,0,93,0,0
25.75,5633,1077.0,208,99,1802.43,4001.24,0,0,99,0,0
26.76,6815,1180.6,233,103,1916.73,4002.13,0,0,103,0,0
27.76,8304,1479.9,263,104,2931.02,4182.26,0,0,104,0,0
28.8,10237,1869.9,296,102,3898.55,4182.26,0,0,102,0,0
29.81,12259,2002.6,326,103,3991.8,4182.26,0,0,103,0,0
